reviewId,content,score,at,userName
991eeefc-e189-47a0-abe9-025ec6131087,"aplikasi bapet ini duit ngendep, duit buat kebutuhan malah ga bisa dipake sama sekali. sialan nyesel downloadnya masa setiap transaksi terjadi kesalahan terus",1,2026-05-26T00:22:23,Pengguna Google
06e09df7-e6d3-4a84-b5fe-d9dc90493e16,sangat bermanfaat,5,2026-05-25T23:27:41,Pengguna Google
89a024c6-6279-46c6-bd73-37aba2a94ffb,bagus mantapp,5,2026-05-25T23:15:29,Pengguna Google
018b96cc-a531-4389-87ef-234b5860a5b1,"aplikasi jelek pelayanan jelek gak usah di Adain aplikasi model begini buang""kuota",1,2026-05-25T22:58:51,Pengguna Google
bba4cc15-77c6-43c1-94cc-0c98dce209ba,goodd bngett,5,2026-05-25T22:07:08,Pengguna Google
c3f5293a-d37e-4346-aa96-939f2eed51ab,lagi maintenance kah?,3,2026-05-25T22:02:17,Pengguna Google
23a3d45c-ea1c-46a2-a167-975cc4745b2f,rrbaguss,5,2026-05-25T21:44:20,Pengguna Google
aea056be-41a7-446b-9499-17f7c715ce4f,bagus keamanannya sangat bagus hayo donlowd aplikasinya kawan kawan se indonesia,5,2026-05-25T21:43:12,Pengguna Google
731fbe8a-2b2f-42b5-8933-d0f31813a5e5,punya saya error mulu,4,2026-05-25T21:24:29,Pengguna Google
40852aa4-051d-4811-9c43-bb5635a0fca8,sy gak bisa login di perangkat baru karena dianggap msh nyangkut di perangkat lama padahal SDH mati hp nya. bgmn solusinya?,1,2026-05-25T20:24:27,Pengguna Google
191dedac-81f8-4887-8321-e363c5378486,terimakasih,5,2026-05-25T20:06:17,Pengguna Google
70bc28e5-f3a3-437a-a98a-2957238d09d4,tolong diperbaiki lg saya barusan TF ke rekening lain tp di rekening lain g masuk saldony tp saldo saya kepotong tolong lah itu duit buat mkn tolong diperbaiki lg ya tolong segara balikan saldo saya kecewa saya,1,2026-05-25T19:38:19,Pengguna Google
d899a52e-551d-4d03-affa-2a44ba1f28df,untuk melakukan pergantian nomor telepon ribet amat,1,2026-05-25T19:07:24,Pengguna Google
f4147dd9-1c19-418f-b1a6-08ac352c5f75,wahh benerr bagus banget sih apk ini,5,2026-05-25T19:04:50,Pengguna Google
f6cd7ff6-51ff-4ddd-a029-ff7b5a10bc0a,"Udah bisa bikin kartu debit fisik dan Terima kasih, pokoknya bank jago emang jago deh 😄 sukses terus yang bank...",5,2026-05-25T18:52:11,Pengguna Google
42df2316-cca5-4236-a118-2df598e6a2a2,terlalu banyak animasi untuk aplikasi perbankan jadi berat aplikasinya,2,2026-05-25T18:30:11,Pengguna Google
0d73cc32-50d8-408f-927b-407434139a6a,Alhamdulillah selama simpan uang disini gk pernah ngalamin transaksi palsu.. cuma pernah kena cancel pembayaran luar negeriny sama kartunya nth kenapa udh tanya cs gk bisa semua akhirny buat kartu baru baru bisa transaksi luar negerinya.. overall oke,4,2026-05-25T18:19:00,Pengguna Google
f3e0b00b-2d05-4069-8c2a-1818539a2ef6,"kenapa sih, sekarang bank jago bnyak ng bug nya mau login juga susah balik lagi balik lagi",5,2026-05-25T17:59:59,Pengguna Google
5d521b2b-62da-413b-8444-118df5249bd8,sangat bagus,5,2026-05-25T17:13:07,Pengguna Google
eaeae01f-8256-486a-b08c-9b14629bacfe,"saya kirim dana tapi tidak masuk kerekening tujuan padahal saldo sdh terpotong/berkurang, sy komplain ehhh di suruh tunggu 1-2hri kerja padahal dana yg dikirim kerekening tujuan mau di pergunakan buat keperluan lebaran yg tingggal 2hri,kurang ajar gak tuhhh",1,2026-05-25T15:23:50,Pengguna Google
a12be1ef-8472-4700-a782-d91f82dfa79b,bagus,5,2026-05-25T14:22:06,Pengguna Google
66a16791-3f27-4fe7-aff4-72ca36ec6fb5,"masak masukin duit bisa mau tranfer dan isi e wallet ngak bisa, uang saya jadi leluring di bank i ni",2,2026-05-25T14:03:55,Pengguna Google
f673b43a-4128-4a29-9cad-9d992f9108f9,"bagus tidak ada kendala,cuma ajuan pinjaman tidak pernah di ACC🤦",5,2026-05-25T13:11:06,Pengguna Google
09e8ede2-7c0e-4878-8a23-f6eaa38f1f67,bank jago sangat baik,5,2026-05-25T12:40:13,Pengguna Google
e1a93a9c-899c-4ec8-9a9e-741409a5a89d,gak bisa transaksi,5,2026-05-25T12:23:50,Pengguna Google
7b8ec99a-4d06-4416-9e26-f72afb061ba3,Bagus,4,2026-05-25T12:05:08,Pengguna Google
3a15fe86-1175-4d54-8286-82cfd8191796,bank ini enak banget buat transaksi tetapi yg saya kecewain hanya 1 kalu sudah update ke jago syariah tidak lagi bisa balik ke jago konvensional saya sangat menginginkan jago konvensional karena gratis TF pertambah itupun akun sudah tidak lagi digunakan semenjak update ke jago syariah mohon banget admin segera Adain update ke konvensional,1,2026-05-25T10:31:57,Pengguna Google
cb29739d-fb05-4507-af95-424a453d8350,👍💯,5,2026-05-25T09:12:34,Pengguna Google
4526412c-2721-42dd-96e9-f5ecd133fa25,keren co dapat duit gua setiap minggu gokil mendesah dulu gua ah ah ah,5,2026-05-25T08:55:47,Pengguna Google
113a22e1-2544-40f9-9103-12273fd843e6,"mudah di gunakan,cepat dan terpercya",5,2026-05-25T07:40:30,Pengguna Google
d02b5348-ba50-4f40-9228-bb2f16327793,bagus,5,2026-05-25T07:36:08,Pengguna Google
a29c3866-3820-4c21-85cc-94ec036169df,"good apk, so helpfull",5,2026-05-25T07:21:15,Pengguna Google
6c5d0635-16af-48a6-a39b-8b9d70c2d96a,qr bayar indomaret tambahkan min. agar semakin mantap,5,2026-05-25T07:08:13,Pengguna Google
fec07292-277d-4891-9acf-6804f5997c1a,sangat praktis,5,2026-05-25T06:49:31,Pengguna Google
3dc3dd60-a0a6-47d1-8d14-8125ee033aca,banyak promonya,5,2026-05-25T06:37:35,Pengguna Google
28152d46-c5f8-493b-a654-c47769342fbc,mantap,4,2026-05-25T05:13:19,Pengguna Google
44d2618c-b7e4-4d61-996e-540fd2254097,mantap,5,2026-05-25T03:43:13,Pengguna Google
d99464d0-2004-4e26-b5fe-797b25d56356,sangat mudah di gunakan,5,2026-05-25T02:16:34,Pengguna Google
661c5f7a-7ced-4946-9fa5-0fe79e7328cd,"bank ga jelas ganti nomor hp aja dari 2025 sampai 2026 ga selesai"" semua permintaan udah aku turutin sampai buat dokumen pakai materai tapi tetap ga diproses , mau makan isi rekening nya yaa ? bank paling ampas yang pernah aku pakai.",1,2026-05-24T22:21:19,Pengguna Google
c87808a9-d526-4f90-a3ce-1ce7c9d4d0aa,good,5,2026-05-24T21:22:25,Pengguna Google
258de98b-9123-413d-92d9-3f0816e646a0,"sangat membantu, 👍keren abiz luar biasa",5,2026-05-24T21:05:16,Pengguna Google
9c7f8a9d-5a81-453b-a60c-e60203721e40,"Bank jago ini bagus fitur nya, namun kecewa nya adalah ada nya Level, saya tidak suka ada nya level Karena saya menganggap bahwa nya semua Nasabah mendapatkan hak yang sama",5,2026-05-24T19:34:28,Pengguna Google
df082ab7-00f9-45fe-8ca5-85580c92bd06,sering2 ngasih hadiahnya,5,2026-05-24T18:05:16,Pengguna Google
54359aa4-deb8-4911-8942-e0b70d152051,Mantap,4,2026-05-24T17:42:35,Pengguna Google
45007066-974f-4fdc-ada2-59e64799223e,"halo bank jago, kenapa setelah update aplikasi 19 maret lalu, fitur login via fingerprint hilang?",3,2026-05-24T17:41:01,Pengguna Google
616e931a-a85b-4f9e-b896-a21aeff3e75e,Enak banyak gratis transfer nya,4,2026-05-24T17:09:16,Pengguna Google
bda891ca-b11d-4eec-9c08-8c70e3940617,top,5,2026-05-24T16:57:16,Pengguna Google
72957c5a-e059-4433-ba22-8130f0fbf906,mudah ..cepat.. bebas biaya,5,2026-05-24T16:54:14,Pengguna Google
6ad47384-eae0-4d29-a476-4554d94eef53,keren pertahankan,5,2026-05-24T16:37:06,Pengguna Google
7283b49e-e4cf-44de-8b04-1fec2467f870,Bagus,5,2026-05-24T16:35:23,Pengguna Google
721c8252-d4d3-41bc-9582-e38fba070ba9,👍👍👍👍,5,2026-05-24T16:28:54,Pengguna Google
725ccadc-8db8-4568-8c47-b91c0269c700,"Mungkin ditambah variasi mata uang asingnya, so far pake jago oke banget bisa bikin kantong untuk kebutuhan masing², jadi gk perlu khawatir terpakai untuk pengeluaran yang boncos.",5,2026-05-24T16:28:28,Pengguna Google
5aeb9313-b953-4283-8850-7f581528b6c2,Tidak bisa login karena kendala pas mau video call yang terus-menerus tidak bisa terkoneksi dengan server.,1,2026-05-24T16:12:46,Pengguna Google
e614f194-9795-4546-9990-5a970a9c4f8d,Sangat baik untuk di gunakan Dan bermanfaat untuk warga yg sangat membutuhkan,5,2026-05-24T16:01:13,Pengguna Google
0cebc5d7-6fe4-4aae-80c1-ac11a5149897,"saat baik, tapi kadang agak lalod",5,2026-05-24T14:54:22,Pengguna Google
a732e4c5-8e30-408d-a130-08517e767880,"tidak bisa mendaftar, padahal sudah melewati proses pendaftaran dan sudah menunggu selama 3 hari selalu ada notifikasi ada gangguan",1,2026-05-24T14:25:23,Pengguna Google
6aeb83f2-5fe5-4f09-86a4-0c8f9e593ce0,"Ketika no kita tidak aktif lagi, WhatsApp sudah off. susah login kembali, ini terlalu sulit untuk sekelas bank digital. proses berbelit-belit lempar sana lempar sini. Proses Selfie sangat sulit terdeteksi. Berbeda dengan Seabank semua dilakukan cukup dengan Selfi karena wajah tidak mungkin tertukar. Aplikasi Bank Digital yang tidak direkomendasi bagi orang yang sulit akses seperti saya, Mending pakai Seabank. di Jago laporan dibuatkan dan tiket sudah dibuat, mana tindak lanjutnya lemot banget!!!",1,2026-05-24T13:45:12,Pengguna Google
b83bdb27-c618-460d-a7bb-f201edede9c7,bang jago pasangan nya gopay beh mantap banyak kantong2...tabungan nya apalagi beli mata uang asing nya sangat mudah tanpa ribet....oooooooo jago memang bang jago,5,2026-05-24T13:22:42,Pengguna Google
10df121e-f123-4956-9401-eb30be80d800,paling mantap pakai bank jago,5,2026-05-24T12:44:39,Pengguna Google
87191f88-8874-44a7-ab29-141aa04247ca,"salam admin, apakah bisa membuat akun dan rekening untuk lembaga di bank jago ini ?",3,2026-05-24T12:29:18,Pengguna Google
d18ad24e-2ba8-4b1d-9c07-238b8a06613e,tolong perbaiki sistem ny apk saya gak bisa masuk masuk padahal sudah benar password ny tiba keluar sendiri,5,2026-05-24T12:17:58,Pengguna Google
c529b031-3d11-40f6-bd1d-e9d2dafbb1c8,GK bisa login,1,2026-05-24T10:45:39,Pengguna Google
a95841fe-fd01-4b0a-a7c8-5d026171ce73,cepat dan tepat,5,2026-05-24T09:56:15,Pengguna Google
bf9c7316-33ba-41a0-94c6-6b14e585cd69,senang pake Bank jago engga ribet,5,2026-05-24T09:50:55,Pengguna Google
e46a3c05-1310-4df9-b442-a4a9eea500ab,sangat baik,5,2026-05-24T09:20:07,Pengguna Google
0a2476c7-7432-4549-bbb7-73dc500e9168,bank terburuk,1,2026-05-24T08:42:48,Pengguna Google
3d9c7101-e32e-4b21-b2b1-3a18fb58503f,pertama sy download apk jago 3 minggu yg lalu sampe skrang ga ada lilit pinjaman agak kecewa maka dri itu sy zaenuri tgl 24 mei 2026 menghapus apk ini dan sy tdk punya hutang atau tunggakan di apk ini .mhn jangan di slh gunakan data sy ..,2,2026-05-24T07:21:42,Pengguna Google
aec6dc12-4b50-4595-9dbe-189727fa5451,transfer cepat 👍👍👍👍👍,5,2026-05-24T07:16:03,Pengguna Google
5bbdc9a9-76a7-4021-a398-9168f2bbd7aa,aq pingin daftar bank jago...,5,2026-05-24T06:08:53,Pengguna Google
544c35fc-7cf2-46f2-9679-40d3dc47b1ab,belum bisa ajukan pinjaman,4,2026-05-24T03:26:52,Pengguna Google
6872de79-1ecc-411a-884c-8702ebc6f5ea,sangat bagus,5,2026-05-24T03:05:04,Pengguna Google
97a89507-d208-4930-8bd4-d0f91479132e,"keren bisa pindah uang antar pocket, bahkan bisa kolaborasi",5,2026-05-24T02:45:51,Pengguna Google
93059aac-4dd3-42b3-8e13-0159c666f69c,"Keren, banyak fitur nya",5,2026-05-24T02:00:11,Pengguna Google
f187efaf-7b41-45cd-a1f6-2b84af14b632,ini knapa ya ga bisa di buka,2,2026-05-24T01:41:14,Pengguna Google
55204fea-4383-422b-bcce-308404d5c121,mempersulit nasabah,1,2026-05-23T22:02:54,Pengguna Google
f857a247-3716-4cfd-a576-48ce9fe67773,kenapa aplikasi error setelah di update,1,2026-05-23T21:34:11,Pengguna Google
f9ccfca4-ffbd-4bb1-bfe1-396b4a76c1cc,"APLIKASI GA BISA DIBUKA, LOLOT",1,2026-05-23T20:46:00,Pengguna Google
6e29d217-4add-4c94-9a1e-ed670f0a06f0,namun aplikasinya suka kembali sendiri,5,2026-05-23T18:51:07,Pengguna Google
8fec0dec-6dc0-4109-9b4a-cb6b85fce82b,fakta unik nih bank (rata rata yang download adalah user bibit dan stockbit 🤣🤣),5,2026-05-23T16:58:57,Pengguna Google
7f6c34bc-b939-4bbc-b403-eb888c0eb04b,Sering fc sendiri dan terus menerus,1,2026-05-23T16:55:24,Pengguna Google
d8796c9c-ea9a-4ff7-a733-c4b65a285904,mantap jago,5,2026-05-23T16:47:46,Pengguna Google
ece31215-8ed4-4894-8bf9-d545ac4720e5,"dari google play menyatakan akun ku sudah ditutup,jadi aku tidak bisa adakan pembelian di google play",1,2026-05-23T16:39:57,Pengguna Google
d4d51986-c503-429d-a348-e16d907ac6a5,mantaaf,5,2026-05-23T16:31:57,Pengguna Google
c3eaeac4-de13-4410-8950-674427383d41,Bagus,5,2026-05-23T16:25:41,Pengguna Google
2893e241-5557-49c5-8bfa-80a1ba4ddd60,akun jago saya lupa password no hp dan wa yg di daftarkan hilang jadi GK bisa di akses udah laporan ke beberapa no pelayanan customer service jago tidak ada respon tolong kebijakan nya dari pihak bank jago,1,2026-05-23T16:24:54,Pengguna Google
489a7600-7561-4725-9299-ca28c18a8bcf,berguna,5,2026-05-23T15:47:42,Pengguna Google
4ae4be1d-d1f7-409a-a9a0-287dd18b569a,"Alhamdulillah semenjak pake bank jago,,jadi semangat menabung 🥰🥰 pokok nya suka bgt sm bank digital 1 ini 👏👏",5,2026-05-23T15:26:59,Pengguna Google
ab3db421-d50c-411d-8f38-faf186cdf9e0,sangat baik dan fitur yang mudah di pahami serta transaksi yang mudah dan serba cepat,5,2026-05-23T15:25:49,Pengguna Google
